id,num_certificado,nombre_advc,superficie_certificada,municipio,estado,certification_year,vigencia,tipo_propietario,principales_ecosistemas,region_conanp
86,CONANP-30-BIS 73/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 86 Z-1 P1/1,0.177643,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
87,CONANP-30-BIS 74/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 89 Z-1 P1/1 ,0.076673,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
88,CONANP-30-BIS 75/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 93 Z-1 P1/1,0.078107,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
89,CONANP-30-BIS 76/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 95 Z-1 P1/1,0.797529,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
90,CONANP-30-BIS 77/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 96 Z-1 P1/1 ,0.7843,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
91,CONANP-30-BIS 78/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 97 Z-1 P1/1 ,1.172647,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
92,CONANP-30-BIS 79/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 98 Z-1 P1/1 ,1.157716,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
93,CONANP-30-BIS 80/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 99 Z-1 P1/1,1.023787,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
94,CONANP-30-BIS 81/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 100 Z-1 P1/1,4.575957,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
95,CONANP-30-BIS 82/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 102 Z-1 P1/1,1.3982,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
96,CONANP-30-BIS 83/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 103 Z-1 P1/1,0.611032,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
97,CONANP-30-BIS 84/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 104 Z-1 P1/1,1.631705,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
98,CONANP-30-BIS 85/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 106 Z-1 P1/1 ,0.865542,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
99,CONANP-30-BIS 86/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 107 Z-1 P1/1 ,2.865852,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
100,CONANP-30-BIS 87/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 109 Z-1 P1/1,8.92691,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
101,CONANP-30-BIS 88/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 113 Z-1 P1/1,3.144837,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
102,CONANP-30-BIS 89/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 114 Z-1 P1/1 ,1.219851,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
103,CONANP-30-BIS 90/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 115 Z-1 P1/1 ,2.452447,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
104,CONANP-30-BIS 91/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 116 Z-1 P1/1,4.980232,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
105,CONANP-30-BIS 92/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 117 Z-1 P1/1,6.008565,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
106,CONANP-30-BIS 93/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 118 Z-1 P1/1,0.383696,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
107,CONANP-30-BIS 94/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 119 Z-1 P1/1,1.740864,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
108,CONANP-30-BIS 95/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 121 Z-1 P1/1,3.66248,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
109,CONANP-30-BIS 96/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 125 Z-1 P1/1,2.435404,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
110,CONANP-30-BIS 97/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 127 Z-1 P1/1,0.710234,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
111,CONANP-30-BIS 98/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 128 Z-1 P1/1 ,0.33679,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
112,CONANP-30-BIS 99/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 129 Z-1 P1/1,5.723578,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
113,CONANP-30-BIS 100/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 130 Z-1 P1/1,5.706648,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
114,CONANP-30-BIS 101/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 134 Z-1 P1/1,1.855367,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
115,CONANP-30-BIS 102/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 136 Z-1 P1/1,3.899672,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
116,CONANP-30-BIS 103/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 137 Z-1 P1/1,13.671612,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
117,CONANP-30-BIS 104/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 138 Z-1 P1/1 ,0.877155,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
118,CONANP-30-BIS 105/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 139 Z-1 P1/1 ,1.566778,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
119,CONANP-30-BIS 106/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 140 Z-1 P1/1,4.24465,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
120,CONANP-30-BIS 107/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 141 Z-1 P1/1 ,0.980458,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
121,CONANP-30-BIS 108/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 142 Z-1 P1/1 ,1.249998,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
122,CONANP-30-BIS 109/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 149 Z-1 P1/1 ,3.258193,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
123,CONANP-30-BIS 110/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 147 Z-1 P1/1,3.785189,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
124,CONANP-30-BIS 111/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 149 Z-1 P1/1 ,2.107065,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
125,CONANP-30-BIS 112/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 150 Z-1 P1/1,1.115467,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
126,CONANP-30-BIS 113/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 151 Z-1 P1/1,5.46618,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
127,CONANP-30-BIS 114/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 152 Z-1 P1/1,3.45651,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
128,CONANP-30-BIS 115/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 154 Z-1 P1/1,9.807226,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
129,CONANP-30-BIS 116/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 155 Z-1 P1/1,4.486313,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
130,CONANP-30-BIS 117/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 156 Z-1 P1/1,14.368747,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
131,CONANP-30-BIS 118/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 157 Z-1 P1/1,1.677789,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
132,CONANP-30-BIS 119/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 158 Z-1 P1/1,2.988517,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
133,CONANP-30-BIS 120/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 159 Z-1 P1/1 ,1.156992,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
134,CONANP-30-BIS 121/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 160 Z-1 P1/1,1.335901,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
135,CONANP-30-BIS 122/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 161 Z-1 P1/1,2.976765,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
136,CONANP-30-BIS 123/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 163 Z-1 P1/1,2.701687,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
137,CONANP-30-BIS 124/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 164 Z-1 P1/1 ,3.05202,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
138,CONANP-30-BIS 125/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 2 Z-1 P1/3 ,1.201724,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
139,CONANP-30-BIS 126/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 5 Z-1 P1/3,2.171388,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
140,CONANP-30-BIS 127/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 22 Z-1 P1/3,7.875189,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
141,CONANP-30-BIS 128/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 29 Z-1 P1/3,10.744922,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
142,CONANP-30-BIS 129/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 37 Z-1  P1/3,2.418282,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
143,CONANP-30-BIS 130/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 39 Z-1 P1/3,6.177218,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
144,CONANP-30-BIS 131/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 46 Z-1 P1/3,2.396409,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
145,CONANP-30-BIS 132/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 49 Z-1 P1/3 ,2.200742,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
146,CONANP-30-BIS 133/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 50 Z-1 P1/3,0.901165,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
147,CONANP-30-BIS 134/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 51 Z-1 P1/3,6.440217,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
148,CONANP-30-BIS 135/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 52 Z-1 P1/3 ,6.720291,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
149,CONANP-30-BIS 136/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 57 Z-1 P1/3,1.094415,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
150,CONANP-30-BIS 137/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 59 Z-1 P1/3,1.027074,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
151,CONANP-30-BIS 138/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 74 Z-1 P1/3,1.729142,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
152,CONANP-30-BIS 139/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 88 Z-1 P1/3,3.987402,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
153,CONANP-30-BIS 140/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 93 Z-1 P1/3,2.123547,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
154,CONANP-30-BIS 141/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 201 Z-1 P1/3,6.121672,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
155,CONANP-30-BIS 142/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 203 Z-1 P1/3,6.740425,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
156,CONANP-30-BIS 143/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 299 Z-1 P1/3,1.342289,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
157,CONANP-30-BIS 144/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 40 Z-1 P1/3,9.134734,Amatlan de Reyes,Veracruz,2006,30,"Ejido 
(Parcela)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",Planicie Costera y Golfo de México
158,CONANP-31/2006,Área de Conservación y Protección San Jacobo,986,Santiago Jocotepec,Oaxaca,2006,20,"Ejido
(Tierras de Uso Común)","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola",Frontera Sur Istmo y Pacífico Sur
159,CONANP-34/2006,Reserva Ejidal Vistahermosa,"1,242.65",Santiago Jocotepec,Oaxaca,2006,30,"Ejido
(Tierras de Uso Común)",selva alta perennifolia,Frontera Sur Istmo y Pacífico Sur
160,*CONANP-36/2006,Área de Conservación los Ojos  1 fracciones A y B,"11,126.09",Agua Prieta,Sonora,2006,Perpetuidad,Persona moral,"pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero",Noroeste y Alto Golfo de California
161,CONANP-37/2006,Área de Conservación los Ojos  2-fracciones C y D,"10,301.55",Agua Prieta,Sonora,2006,Perpetuidad,Persona moral,"pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero, bosque de pino-encino",Noroeste y Alto Golfo de California
162,*CONANP-38/2006,Área de Conservación los Ojos  3-fracciones E F G H I,"12,839.14",Agua Prieta,Sonora,2006,Perpetuidad,Persona moral,"pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero, bosque de pino-encino",Noroeste y Alto Golfo de California
163,CONANP-39/2006,Área de Conservación El Zapotal,"2,358.13",Tizimin,Yucatán,2006,Perpetuidad,Persona moral,"selva mediana subcaduciifolia, selva baja inundable, sabana, cenotes, ecosistema cavernícola",Península de Yucatán y Caribe Mexicano
164,CONANP-40/2006,Reserva Comunal Mascalco,"10,000.00",San Pedro Huamelula,Oaxaca,2006,Perpetuidad,"Comunidad 
(Bienes comunales)","selva baja caducifolia, selva mediana caducifolia, selva baja espinosa, galería riparia, manglar, tular, matorral de dunas costeras, ecosistemas acuáticos",Frontera Sur Istmo y Pacífico Sur
165,CONANP-42/2006,Rancho San Pedro,805,Antiguo Morelos,Tamaulipas,2006,50,Persona física,"pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero",Noreste y Sierra Madre Oriental
166,CONANP-50/2006,La Pasionaria,1.75,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña",Frontera Sur Istmo y Pacífico Sur
167,CONANP-51/2006,El Corozal,2,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña",Frontera Sur Istmo y Pacífico Sur
168,CONANP-52/2006,Cafetal Soconusco,77,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",Frontera Sur Istmo y Pacífico Sur
169,CONANP-53/2006,Cerro Azul,12.5,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña",Frontera Sur Istmo y Pacífico Sur
170,CONANP-54/2006,Huancastle,22,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña",Frontera Sur Istmo y Pacífico Sur
171,CONANP-56/2006,Concepción Vista Hermosa,109,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",Frontera Sur Istmo y Pacífico Sur
172,CONANP-57/2006,EL Jordán,70.25,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",Frontera Sur Istmo y Pacífico Sur
173,CONANP-58/2006,La Libertad,4,Pluma Hidalgo,Oaxaca,2006,Perpetuidad,Persona física,"selva alta perennifolia, bosque mesófilo de montaña",Frontera Sur Istmo y Pacífico Sur
