"advc_uuid","federal_entity","municipality","id_type_property","id_region_conanp","certificate_number","advc_name","certification_year","validity","main_ecosystems","surface","has_overlap"
95,30,Amatlan de Reyes,1,5,CONANP-30-BIS 82/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 102 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.3982,0
96,30,Amatlan de Reyes,1,5,CONANP-30-BIS 83/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 103 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.611032,0
97,30,Amatlan de Reyes,1,5,CONANP-30-BIS 84/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 104 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.631705,0
98,30,Amatlan de Reyes,1,5,CONANP-30-BIS 85/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 106 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.865542,0
99,30,Amatlan de Reyes,1,5,CONANP-30-BIS 86/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 107 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.865852,0
100,30,Amatlan de Reyes,1,5,CONANP-30-BIS 87/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 109 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",8.92691,0
101,30,Amatlan de Reyes,1,5,CONANP-30-BIS 88/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 113 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.144837,0
102,30,Amatlan de Reyes,1,5,CONANP-30-BIS 89/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 114 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.219851,0
103,30,Amatlan de Reyes,1,5,CONANP-30-BIS 90/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 115 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.452447,0
266,20,San Miguel del Puerto,3,8,CONANP-233/2010,Finca Monte Carlo,2010,"50","selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",161.2755,0
104,30,Amatlan de Reyes,1,5,CONANP-30-BIS 91/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 116 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",4.980232,0
105,30,Amatlan de Reyes,1,5,CONANP-30-BIS 92/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 117 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",6.008565,0
106,30,Amatlan de Reyes,1,5,CONANP-30-BIS 93/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 118 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.383696,0
107,30,Amatlan de Reyes,1,5,CONANP-30-BIS 94/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 119 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.740864,0
108,30,Amatlan de Reyes,1,5,CONANP-30-BIS 95/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 121 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.66248,0
109,20,San Juan Guichicovi,1,8,CONANP-202/2010,"10 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",13.5719,0
110,30,Amatlan de Reyes,1,5,CONANP-30-BIS 96/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 125 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.435404,0
111,30,Amatlan de Reyes,1,5,CONANP-30-BIS 97/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 127 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.710234,0
112,30,Amatlan de Reyes,1,5,CONANP-30-BIS 98/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 128 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.33679,0
113,30,Amatlan de Reyes,1,5,CONANP-30-BIS 99/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 129 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.723578,0
114,30,Amatlan de Reyes,1,5,CONANP-30-BIS 100/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 129 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.706648,0
115,30,Amatlan de Reyes,1,5,CONANP-30-BIS 101/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 134 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.855367,0
116,30,Amatlan de Reyes,1,5,CONANP-30-BIS 102/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 136 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.899672,0
117,30,Amatlan de Reyes,1,5,CONANP-30-BIS 103/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 137 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",13.671612,0
118,30,Amatlan de Reyes,1,5,CONANP-30-BIS 104/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 138 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.877155,0
119,30,Amatlan de Reyes,1,5,CONANP-30-BIS 105/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 139 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.566778,0
120,30,Amatlan de Reyes,1,5,CONANP-30-BIS 106/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 140 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",4.24465,0
121,30,Amatlan de Reyes,1,5,CONANP-30-BIS 107/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 141 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.980458,0
122,30,Amatlan de Reyes,1,5,CONANP-30-BIS 108/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 142 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.249998,0
123,30,Amatlan de Reyes,1,5,CONANP-30-BIS 109/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 149 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.258193,0
124,30,Amatlan de Reyes,1,5,CONANP-30-BIS 110/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 147 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.785189,0
125,30,Amatlan de Reyes,1,5,CONANP-30-BIS 111/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 149 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.107065,0
126,30,Amatlan de Reyes,1,5,CONANP-30-BIS 112/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 150 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.115467,0
127,30,Amatlan de Reyes,1,5,CONANP-30-BIS 113/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 151 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.46618,0
128,30,Amatlan de Reyes,1,5,CONANP-30-BIS 114/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 152 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.45651,0
129,30,Amatlan de Reyes,1,5,CONANP-30-BIS 115/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 154 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",9.807226,0
130,30,Amatlan de Reyes,1,5,CONANP-30-BIS 116/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 155 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",4.486313,0
131,30,Amatlan de Reyes,1,5,CONANP-30-BIS 117/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 156 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",14.368747,0
132,30,Amatlan de Reyes,1,5,CONANP-30-BIS 118/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 157 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.677789,0
133,30,Amatlan de Reyes,1,5,CONANP-30-BIS 119/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 158 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.988517,0
134,30,Amatlan de Reyes,1,5,CONANP-30-BIS 120/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 159 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.156992,0
135,30,Amatlan de Reyes,1,5,CONANP-30-BIS 121/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 160 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.335901,0
136,12,Ometepec,1,7,CONANP-296/2011,El Sepudo,2011,"99",selva mediana subcaducifolia,2,0
137,30,Amatlan de Reyes,1,5,CONANP-30-BIS 122/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 161 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.976765,0
138,30,Amatlan de Reyes,1,5,CONANP-30-BIS 123/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 163 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.701687,0
139,30,Amatlan de Reyes,1,5,CONANP-30-BIS 124/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 164 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.05202,0
140,30,Amatlan de Reyes,1,5,CONANP-30-BIS 125/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 2 Z-1 P1/3 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.201724,0
141,30,Amatlan de Reyes,1,5,CONANP-30-BIS 126/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 5 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.171388,0
142,30,Amatlan de Reyes,1,5,CONANP-30-BIS 127/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 22 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",7.875189,0
143,30,Amatlan de Reyes,1,5,CONANP-30-BIS 128/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 29 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",10.744922,0
144,30,Amatlan de Reyes,1,5,CONANP-30-BIS 129/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 37 Z-1  P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.418282,0
145,30,Amatlan de Reyes,1,5,CONANP-30-BIS 130/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 39 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",6.177218,0
146,30,Amatlan de Reyes,1,5,CONANP-30-BIS 131/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 46 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.396409,0
147,30,Amatlan de Reyes,1,5,CONANP-30-BIS 132/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 49 Z-1 P1/3 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.200742,0
148,30,Amatlan de Reyes,1,5,CONANP-30-BIS 133/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 50 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.901165,0
149,30,Amatlan de Reyes,1,5,CONANP-30-BIS 134/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 51 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",6.440217,0
150,30,Amatlan de Reyes,1,5,CONANP-30-BIS 135/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 52 Z-1 P1/3 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",6.720291,0
151,30,Amatlan de Reyes,1,5,CONANP-30-BIS 136/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 57 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.094415,0
152,30,Amatlan de Reyes,1,5,CONANP-30-BIS 137/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 59 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.027074,0
153,30,Amatlan de Reyes,1,5,CONANP-30-BIS 138/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 74 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.729142,0
154,30,Amatlan de Reyes,1,5,CONANP-30-BIS 139/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 88 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.987402,0
155,30,Amatlan de Reyes,1,5,CONANP-30-BIS 140/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 93 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.123547,0
156,30,Amatlan de Reyes,1,5,CONANP-30-BIS 141/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 201 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",6.121672,0
157,30,Amatlan de Reyes,1,5,CONANP-30-BIS 142/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 203 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",6.740425,0
158,30,Amatlan de Reyes,1,5,CONANP-30-BIS 143/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 299 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.342289,0
159,30,Amatlan de Reyes,1,5,CONANP-30-BIS 144/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 40 Z-1 P1/3,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",9.134734,0
160,20,Santiago Jocotepec,1,8,CONANP-31/2006,Área de Conservación y Protección San Jacobo,2006,"20","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola",986,0
161,20,Santiago Jocotepec,1,8,CONANP-34/2006,Reserva Ejidal Vistahermosa,2006,"30",selva alta perennifolia,1242.647649,0
162,26,Agua Prieta,3,2,CONANP-37/2006,Área de Conservación los Ojos  2-fracciones C y D,2006,Perpetuidad,"pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero, bosque de pino-encino",10301.5505,0
163,12,Ometepec,1,7,CONANP-297/2011,Tres Cerros  ,2011,"99",selva mediana subcaducifolia,1,0
164,31,Tizimin,3,9,CONANP-39/2006,Área de Conservación El Zapotal,2006,Perpetuidad,"selva mediana subcaduciifolia, selva baja inundable, sabana, cenotes, ecosistema cavernícola",2358.125,0
165,20,San Pedro Huamelula,1,8,CONANP-40/2006,Reserva Comunal Mascalco,2006,Perpetuidad,"selva baja caducifolia, selva mediana caducifolia, selva baja espinosa, galería riparia, manglar, tular, matorral de dunas costeras, ecosistemas acuáticos",10000,0
166,28,Antiguo Morelos,3,4,CONANP-42/2006,Rancho San Pedro,2006,"50","pradera, chaparral, galerías de sauce/platanus, sabana de pino/encino/junípero",805,0
167,20,Pluma Hidalgo,3,8,CONANP-50/2006,La Pasionaria,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",1.75,0
168,20,Pluma Hidalgo,3,8,CONANP-51/2006,El Corozal,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",2,0
169,20,Pluma Hidalgo,3,8,CONANP-52/2006,Cafetal Soconusco,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",77,0
170,20,Pluma Hidalgo,3,8,CONANP-53/2006,Cerro Azul,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",12.5,0
171,20,Pluma Hidalgo,3,8,CONANP-54/2006,Huancastle,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",22,0
243,20,San Juan Guichicovi,1,8,CONANP-210/2010,"64 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",7.7201,0
172,20,Pluma Hidalgo,3,8,CONANP-56/2006,Concepción Vista Hermosa,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",109,0
173,20,Pluma Hidalgo,3,8,CONANP-57/2006,EL Jordán,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña, bosque de pino-encino",70.25,0
174,20,Pluma Hidalgo,3,8,CONANP-58/2006,La Libertad,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",4,0
175,20,Pluma Hidalgo,3,8,CONANP-59/2006,La Reforma,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",20,0
176,20,Pluma Hidalgo,3,8,CONANP-60/2006,Los Lirios,2006,Perpetuidad,selva alta perennifolia,3,0
177,20,Pluma Hidalgo,3,8,CONANP-61/2006,Sacramento,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",6,0
178,20,Pluma Hidalgo,3,8,CONANP-62/2006,Trapiche,2006,Perpetuidad,selva alta perennifolia,4,0
179,20,Pluma Hidalgo,3,8,CONANP-63/2006,La Soledad,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",10,0
180,20,Pluma Hidalgo,3,8,CONANP-64/2006,Cafetal Las Flores,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",28,0
181,20,Pluma Hidalgo,3,8,CONANP-65/2006,Juan Diego II,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",16,0
182,20,Pluma Hidalgo,3,8,CONANP-66/2006,San Antonio,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",4,0
183,20,Pluma Hidalgo,3,8,CONANP-67/2006,La Pasionaria,2006,Perpetuidad,bosque mesófilo de montaña,0.42,0
184,20,Pluma Hidalgo,3,8,CONANP-68/2006,Tierra Colorada,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",2,0
185,20,Pluma Hidalgo,3,8,CONANP-69/2006,San Ignacio,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",110,0
186,20,Pluma Hidalgo,3,8,CONANP-70/2006,Piedra Blanca,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",2,0
187,20,Pluma Hidalgo,3,8,CONANP-71/2006,Las Flores,2006,Perpetuidad,bosque mesófilo de montaña,2,0
188,20,Pluma Hidalgo,3,8,CONANP-72/2006,San Vicente,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",22,0
189,20,Pluma Hidalgo,3,8,CONANP-73/2006,Fraccionamiento Santa Fe,2006,Perpetuidad,selva alta perennifolia,4,0
190,20,Pluma Hidalgo,3,8,CONANP-74/2006,Rosalito I,2006,Perpetuidad,"selva alta perennifolia, bosque mesófilo de montaña",3,0
191,12,Chilpancingo de los Bravo,1,7,CONANP-75/2006,"El Borbollón, La Pandura y la Yerbabuena",2006,Perpetuidad,"bosque mesófilo de montaña, bosque de pino encino, bosque de galería, bosque de encino, selva baja caducifolia",817,0
192,1,El Llano,1,6,CONANP-76/2006,Area de Protección del Aguila Real de la Serranía de Juan Grande,2006,"50","pastizal-huizachal, matorral crasicaule, matorral de encino, bosque abierto de encino",2589.45,0
267,23,Felipe Carrillo Puerto,1,9,CONANP-234/2010,Much Kanan K'aax,2010,"25","selva mediana subcaduciifolia y subperennifolia, selva alta perennifolia, cuerpos lagunares y aguadas",1230,0
193,20,Santa María Jacatepec,1,8,CONANP-77/2006,Area de Conservación de la Ribera del Cajonos del Ejido Nuevo Málzaga,2006,"99","selva alta perennifolia, selva mediana subperennifolia, ecosistema cavernícola",661.27,0
194,20,Santa María Jacatepec,1,8,CONANP-78/2006,Área de Conservación de la Ribera del Cajonos de la Comunidad de San Agustín,2006,"99","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola",1765.07,0
195,20,Santiago Jocotepec,1,8,CONANP-80/2006,Area de Conservación de la Ribera del Cajonos del Ejido Plan Mata de Caña,2006,"99","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola",2033.422,0
196,12,Leonardo Bravo,1,7,CONANP-81/2006,"El Ocotalito, El Venadario y La Antena",2006,"20","sabana de pino encino, matorral de encino ",340.9165,0
197,20,Santiago Jocotepec,1,8,CONANP-100/2007,Area de Conservación de la Ribera del Cajonos del Ejido Plan De San Luis,2007,Perpetuidad,"selva alta perennifolia, selva mediana subperennifolia, ecosistema cavernícola",1360,0
198,19,Aramberri,1,4,CONANP-101/2007,Zona de Restauración Ecológica del Lobo Mexicano Potrero de Zamora,2007,"99","bosque alpino, bosque de pino, bosque de pino encino, chaparral, matorral desértico rosetófilo, matorral desértico micrófilo, pastizal inducido",4417.5,0
199,19,Aramberri,1,4,CONANP-102/2007,Zona de Restauración Ecológica del Lobo Mexicano San Joaquín de Soto,2007,"99","bosque alpino, bosque de pino, bosque de pino encino, chaparral, matorral desértico rosetófilo, matorral desértico micrófilo, pastizal inducido",6405.568,0
200,19,Galeana,1,4,CONANP-103/2007,Zona de Restauración Ecológica del Lobo Mexicano Corona del Rosal,2007,"99","bosque alpino, bosque de pino, bosque de pino encino, bosque mesófilo, bosque de galería, chaparral, matorral desértico rosetófilo, matorral desértico micrófilo, pastizal inducido",6579.2146,0
201,20,San Juan Guichicovi,1,8,CONANP-203/2010,"13 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",8.6649,0
202,19,Aramberri,1,4,CONANP-104/2007,Zona de Restauración Ecológica del Lobo Mexicano El Saucillo,2007,"99","bosque de pino encino, chaparral, matorral desértico rosetófilo, matorral desértico micrófilo, pastizal inducido",1190.745,0
203,20,Pluma Hidalgo,3,8,CONANP-121/2007,Cafetal San Juanito,2007,"99","selva alta perennifolia, bosque mesófilo de montaña",32,0
204,12,Ajuchitlan del Progreso,1,7,CONANP-124/2007,Área de Conservación Ecológica Comunitaria Campo Verde,2007,"99","bosque mesófilo de montaña, bosque de pino encino, bosque de galería, bosque de encino, selva mediana subcaducifolia, selva baja caducifolia",847.16,0
205,20,Acatlán de Pérez Figueroa,1,8,CONANP-149/2007,Área Comunitaria de Conservación Buenos Aires,2007,"99","selva alta perennifolia, selva mediana subperennifolia",218.01,0
206,23,Lázaro Cárdenas,3,9,CONANP-162/2007,Reserva Ecológica El Edén,2007,"25","selva mediana, selva baja inundable, palmares tintales, humedales con sabana, vegetación secundaria",1540.9525,0
207,20,San Miguel Soyaltepec,1,8,CONANP-163/2007,Paraje El Frijolillo,2007,"25","selva alta perennifolia, selva mediana subperennifolia, pantano, vegetación acuática",1014.339672,0
208,20,Ayotzintepec,1,8,CONANP-165/2007,Área de Conservación de la Ribera del Cajonos del Ejido Plan Juan Martínez,2007,"99","selva alta perennifolia, selva mediana subperennifolia",259.504,0
209,19,Galeana,1,4,CONANP-166/2007,Zona de Restauración Ecológica del Lobo Mexicano La Providencia,2008,"99","bosque de pino-encino, matorral xerófilo",1399.0274,0
210,18,Santiago Izcuintla,3,6,CONANP-170/2008,La Papalota 1,2008,"99","matorral espinoso, manglar, vegetación costera halófita, vegetación acuática",175.2188,0
211,18,Santiago Izcuintla,3,6,CONANP-171/2008,La Papalota 2,2008,"99","matorral espinoso, manglar, vegetación costera halófita, vegetación acuática",193.61,0
